Building Name,City,Height (m),Completed,Material,Use
Sheraton Kansas City Hotel at Crown Center,Kansas City  ,130,1980,steel,hotel
Evo at Cira Centre South,Philadelphia  ,130,2014,concrete,residential
AMA Building,Chicago  ,130,1990,steel,office
Marbella Apartments,Jersey City  ,130.2,2003,concrete,residential
Finland House,New York City  ,130.2,1970,concrete,office
225 West Randolph Street,Chicago  ,130.2,1965,,office
Broad Financial Center,New York City  ,130.2,1986,,office
Toren,New York City  ,130.3,2009,steel,residential
Hyatt Regency Orlando Expansion Tower,Orlando  ,130.4,2010,concrete,hotel
One Carnegie Hill,New York City  ,130.5,2006,concrete,residential
712 Main Street,Houston  ,130.5,1929,steel,office
Centro Lofts Miami,Miami  ,130.5,2016,concrete,residential / retail
Squibb Building,New York City  ,130.5,1972,,office
101 Warren Street,New York City  ,130.5,2008,concrete,residential
1100 Peachtree,Atlanta  ,130.5,1990,,office
Bank of America Building,Providence  ,130.5,1927,steel,office
Manhattan Plaza Apartments I,New York City  ,130.5,1977,concrete,residential
Manhattan Plaza Apartments II,New York City  ,130.5,1977,concrete,residential
Harlem River Park Tower I,New York City  ,130.5,1975,concrete,residential
Harlem River Park Tower II,New York City  ,130.5,1975,concrete,residential
1555 North Astor,Chicago  ,130.6,1975,concrete,residential
Trump Taj Mahal Casino Hotel,Atlantic City  ,130.8,1990,composite,hotel / casino
860 U.N. Plaza Apartments,New York City  ,130.8,1966,,residential
870 U.N. Plaza Apartments,New York City  ,130.8,1966,,residential
Fred F. French Building,New York City  ,130.8,1927,steel,office
AT&T Building,New York City  ,130.8,1930,steel,office
Linc LIC,New York City  ,130.8,2013,concrete,residential
First Hawaiian Center,Honolulu  ,130.8,1996,steel,office
4 Metrotech Center,New York City  ,130.8,1993,,office
Memorial Hermann Medical Plaza,Houston  ,131,2007,concrete,hospital / office
McClurg Court Center A,Chicago  ,131,1971,concrete,residential
McClurg Court Center B,Chicago  ,131,1971,concrete,residential
Jasper,San Francisco  ,131,2015,,residential
Turnberry Ocean Colony North Tower,Sunny Isles Beach  ,131,2007,concrete,residential
Turnberry Ocean Colony South Tower,Sunny Isles Beach  ,131,2008,concrete,residential
1700 Market Street,Philadelphia  ,131,1968,concrete,office
Bellevue Towers One,Bellevue  ,131.1,2008,concrete,residential
100 North Main Building,Memphis  ,131.1,1965,concrete,office
EQT Plaza,Pittsburgh  ,131.1,1987,,office
135 East 57th Street,New York City  ,131.1,1988,,office
One Woodward Avenue,Detroit  ,131.1,1963,,office
Carl B. Stokes Federal Courthouse,Cleveland  ,131.1,2002,steel,government
Baltimore Marriott Waterfront Hotel,Baltimore  ,131.1,2001,concrete,hotel
1130 South Michigan,Chicago  ,131.4,1967,concrete,residential
Two Hanover Square,Raleigh  ,131.4,1991,,office
Borgata Hotel & Casino,Atlantic City  ,131.5,2007,concrete,hotel / casino
Shirley Ryan AbilityLab,Chicago  ,131.5,2016,steel/concrete,hospital
Chrysler East,New York City  ,131.7,1999,steel,office
110 East 59th Street,New York City  ,131.7,1969,,office
535 5th Avenue,New York City  ,131.7,1926,steel,office
Bush Tower,New York City  ,131.7,1917,steel,office
Riverplace Tower,Jacksonville  ,131.7,1967,precast,office
The Savoy Condominiums,New York City  ,131.7,1986,concrete,residential
BKLYN Air,New York City  ,131.7,2014,concrete,residential
Renaissance New York Midtown Hotel,New York City  ,131.7,2015,concrete,hotel
5900 Wilshire,Los Angeles  ,132,1971,steel,office
225 West Wacker,Chicago  ,132,1989,concrete,office
Confucius Plaza Apartments,New York City  ,132,1976,,residential
The Vanderbilt,New York City  ,132,1986,concrete,residential
ITT Building,New York City  ,132,1928,steel,office
Loft 2,Miami  ,132,2007,concrete,residential
Two Wells Fargo Center,Charlotte  ,132,1971,,office
Silver Tower,Chicago  ,132.1,2010,concrete,residential
The Palisades,Fort Lee  ,132.3,2001,concrete,residential
First Interstate Tower North,Denver  ,132.3,1974,,office
Oklahoma Tower,Oklahoma City  ,132.3,1982,,office
Spring,Austin  ,132.3,2009,concrete,residential
Phoenix Tower,Houston  ,132.3,1984,,office
1600 Pacific Tower,Dallas  ,132.3,1964,,
Fontainebleau Tower Suites,Miami Beach  ,132.3,2005,concrete,residential / hotel
Russ Building,San Francisco  ,132.6,1927,steel,office
Archstone Midtown West,New York City  ,132.6,1998,concrete,residential
Trump Plaza,New Rochelle  ,132.6,2007,concrete,residential
Two Logan Square,Philadelphia  ,132.6,1987,,office
745 5th Avenue,New York City  ,132.6,1931,steel,office
AT&T Tower,Jacksonville  ,132.6,1983,steel,office
123 North Wacker,Chicago  ,132.6,1986,,office
Caesars Palace Tower,Las Vegas  ,132.6,1998,,hotel
60 East End Avenue,New York City  ,132.6,1972,,residential
180 North LaSalle,Chicago  ,132.6,1972,concrete,office
1111 Brickell Avenue,Miami  ,132.6,2001,,office
140 New Montgomery Street,San Francisco  ,132.7,1925,steel,office
Crystal Point,Jersey City  ,132.9,2009,concrete,residential
San Francisco Marriott,San Francisco  ,132.9,1989,steel,hotel
Marquee,Chicago  ,132.9,2016,concrete/steel,residential / retail
750 3rd Avenue,New York City  ,132.9,1958,steel,office
Annenberg Pavillion,New York City  ,132.9,1974,steel,office
Cira Centre,Philadelphia  ,133.1,2005,steel,office
David Stott Building,Detroit  ,133.1,1929,steel,office
Cadillac Tower,Detroit  ,133.2,1927,steel,office
The Peninsula,Jacksonville  ,133.2,2006,concrete,residential
Regions Harbert Plaza,Birmingham (AL)  ,133.2,1989,,office
Residence Inn New York Manhattan/Times Square,New York City  ,133.2,2006,concrete,residential / hotel
Wrigley Building,Chicago  ,133.5,1922,steel,office
Park Laurel Condominiums,New York City  ,133.5,2001,concrete,residential
Willoughby Tower,Chicago  ,133.5,1929,steel,office
The Crest,New York City  ,133.5,1929,steel,office
Borden Building,Columbus  ,133.5,1974,steel,office
Empire Trust Company Building,New York City  ,133.5,1927,steel,office
Fifth Avenue Tower,New York City  ,133.5,1986,,residential / office
17th Street Plaza,Denver  ,133.5,1982,,office
One California,San Francisco  ,133.5,1969,steel,office
1010 Common,New Orleans  ,133.5,1970,concrete,office
The Mondrian,New York City  ,133.8,1992,concrete,residential
Allison Tower,The Woodlands  ,133.8,2002,,office
One Park Tower,Atlanta  ,133.8,1961,steel,office
Tower 52,New York City  ,133.8,1983,,office
W Dallas Victory Hotel & Residences,Dallas  ,133.8,2006,concrete,hotel
Insignia North Tower,Seattle  ,134,2016,concrete,residential
Insignia South Tower,Seattle  ,134,2015,concrete,residential
One Canal Place,New Orleans  ,134,1979,steel,office
Hartford 21,Hartford  ,134.1,2006,steel,residential
The Beach Club Tower 1,Hallandale Beach  ,134.1,2005,concrete,residential
The Beach Club Tower 3,Hallandale Beach  ,134.1,2007,concrete,residential
1001 South State Street,Chicago  ,134.1,2016,concrete,residential
Met 1,Miami  ,134.1,2007,concrete,residential
Fifteen Twenty-One Second Avenue,Seattle  ,134.1,2008,concrete,residential
One Seaport Plaza,New York City  ,134.1,1984,,office
340 Fremont Street,San Francisco  ,134.1,2016,concrete,residential
Cirrus,Seattle  ,134.1,2015,concrete,residential
City Place,Oklahoma City  ,134.1,1931,steel,office
The Olivia,New York City  ,134.1,2001,concrete/steel,residential / office
11 Greenway Plaza,Houston  ,134.4,1979,,office
9 Greenway Plaza,Houston  ,134.4,1978,,office
SunTrust Center,Orlando  ,134.4,1988,concrete,office
Harriman Building,New York City  ,134.7,1928,steel,residential / office
Texaco Center,New Orleans  ,134.7,1983,,office
One Summit Square,Fort Wayne  ,134.7,1982,concrete,office
Optima Chicago Center,Chicago  ,134.9,2014,concrete,residential
Lucerne Apartments,New York City  ,134.9,1991,concrete,residential
Trump Hollywood,Hollywood  ,135,2009,concrete,residential
Bridge Tower Place,New York City  ,135,2001,concrete,residential
85 Broad Street,New York City  ,135,1983,,office
Xerox Tower,Rochester  ,135,1968,steel,office
Jackson Tower,St. Paul  ,135,1986,concrete,residential
Element New York Times Square West,New York City  ,135,2010,concrete,hotel
Daily Commerce Building,New York City  ,135,1931,steel,office
City Hall,Kansas City  ,135,1937,steel,government
Four Leaf Towers 1,Houston  ,135.3,1982,,residential
Four Leaf Towers 2,Houston  ,135.3,1982,,residential
Premier on Pine,Seattle  ,135.3,2015,concrete,residential
The Westin Diplomat Resort,Hollywood  ,135.3,2002,concrete,hotel
Weston Centre,San Antonio  ,135.3,1989,,office
Three Ravinia Drive,Dunwoody  ,135.3,1991,,office
MILA,Chicago  ,135.5,2016,concrete,residential
Fisher Building,Detroit  ,135.5,1928,steel,office
Liberty Court,New York City  ,135.6,1987,,residential
Club M at Turtle Bay,New York City  ,135.6,1988,,residential
300 South Wacker,Chicago  ,135.6,1971,concrete,office
444 North Michigan,Chicago  ,135.6,1976,,office
1400 Broadway,New York City  ,135.6,1931,steel,office
One Main Place,Dallas  ,135.6,1968,,office
Two PNC Plaza,Pittsburgh  ,135.6,1975,,office
120 Wall Street,New York City  ,135.6,1930,steel,office
Millennium Place Tower 2,Boston  ,135.8,2001,,residential / hotel
Greenwich Club Residences,New York City  ,135.9,1931,steel,residential
Manchester Grand Hyatt Seaport,San Diego  ,135.9,2003,steel,hotel
Fifth Third Center,Cleveland  ,135.9,1991,,office
University Club Tower,Milwaukee  ,136,2007,concrete,residential
100 First Plaza,San Francisco  ,136.2,1988,,office
Ann & Robert H. Lurie Children's Hospital of Chicago,Chicago  ,136.2,2012,composite,hospital
1250 Broadway,New York City  ,136.3,1970,steel,office
La Perla Ocean Residences,Sunny Isles Beach  ,136.3,2006,concrete,residential
Ivy Tower,New York City  ,136.3,2003,concrete,residential
Omni Fort Worth Hotel,Fort Worth  ,136.3,2009,concrete,residential / hotel
Fifth Third Center,Charlotte  ,136.3,1997,,office
Icon Bay,Miami  ,136.5,2015,concrete,residential
Eleven80,Newark  ,136.6,1930,steel,office
1670 Broadway,Denver  ,136.6,1980,,office
50 Broadway,New York City  ,136.6,1927,steel,office
Adams Express Building,New York City  ,136.6,1916,steel,office
Wall Street Plaza,New York City  ,136.6,1973,,office
W Minneapolis - The Foshay,Minneapolis  ,136.6,1929,steel,hotel
Sheraton Dallas Hotel North Tower,Dallas  ,136.6,1980,,hotel
One Dallas Center,Dallas  ,136.6,1979,,residential / office
AT&T Switching Center,Los Angeles  ,136.6,1961,,office
Chateau Beach Residences,Sunny Isles Beach  ,136.8,2015,concrete,residential
One Miami West Tower,Miami  ,136.9,2005,concrete,residential
200 Squared,Chicago  ,136.9,2010,concrete,residential
Millennium Point,New York City  ,136.9,2001,concrete,residential / hotel
James Monroe Building,Richmond  ,136.9,1981,,office
The America,New York City  ,136.9,1987,,residential
Westin Seattle North Tower,Seattle  ,137,1982,steel,religious
New Orleans Marriott,New Orleans  ,137,1972,,hotel
Veer Towers East,Las Vegas  ,137,2010,concrete,residential
Veer Towers West,Las Vegas  ,137,2010,concrete,residential
Hubbard Place,Chicago  ,137,2013,concrete,residential
701 Brickell Avenue,Miami  ,137.1,1986,,office
The Strand,New York City  ,137.2,1989,,residential
M2,Jersey City  ,137.2,2016,concrete,residential
The Shoreham,Chicago  ,137.2,2005,concrete,residential
Park Lane Hotel,New York City  ,137.2,1971,,hotel
Eugenie Terrace on the Park,Chicago  ,137.2,1987,concrete,residential
Bellevue Towers Two,Bellevue  ,137.2,2008,concrete,residential
Dag Hammarskjold Tower,New York City  ,137.2,1984,,residential
The Strathmore,New York City  ,137.2,1996,,residential
One Lincoln Tower,Bellevue  ,137.2,2005,concrete,residential / hotel
Tower 31,New York City  ,137.2,2006,concrete,residential
47 East 34th Street,New York City  ,137.2,2009,concrete,residential
Fifth Third Center,Chicago  ,137.2,1971,composite,office
100 Summer Street,Boston  ,137.2,1974,steel,office
Three Wells Fargo Center,Charlotte  ,137.2,2000,concrete,office
One Cleveland Center,Cleveland  ,137.2,1983,steel,office
Emerald Plaza,San Diego  ,137.2,1990,,office
Riverbend Condominiums,Chicago  ,137.4,2002,concrete,residential
1065 Avenue of the Americas,New York City  ,137.5,1957,steel,office
Buckhead Grand,Atlanta  ,137.5,2004,concrete,residential
Metropolitan Life North Building,New York City  ,137.5,1950,steel,office
Renaissance Dallas Hotel,Dallas  ,137.5,1983,,hotel
AT&T Center,Los Angeles  ,137.8,1965,steel,office
Las Olas River House I,Fort Lauderdale  ,137.8,2004,concrete,residential
Roanoke Building,Chicago  ,137.8,1927,steel,office
One Allen Center,Houston  ,137.8,1972,,office
The Dylan,New York City  ,137.8,2013,concrete,residential
William R. Snodgrass Tennessee Tower,Nashville  ,137.8,1970,concrete,office
High Street Tower,Boston  ,137.8,1990,steel,office
510 Madison,New York City  ,137.9,2010,steel,office
Spire,Atlanta  ,138,2005,concrete,residential
ABN AMRO Plaza,Chicago  ,138.1,2003,composite,office
Turnberry Towers - East Tower,Las Vegas  ,138.1,2007,concrete,hotel
Turnberry Towers - West Tower,Las Vegas  ,138.1,2008,concrete,residential
600 North Lake Shore Drive - North Tower,Chicago  ,138.1,2008,concrete,residential
53rd at Third,New York City  ,138.1,1986,steel,office
Equitable Building,Atlanta  ,138.1,1967,,office
717 Texas Avenue,Houston  ,138.2,2003,concrete,office
909 Walnut,Kansas City  ,138.3,1931,steel,office
400 North LaSalle,Chicago  ,138.4,2005,concrete,residential
Equitable Life Building,Los Angeles  ,138.4,1969,steel,office
7 Bryant Park,New York City  ,138.4,2016,composite,office
Trump SoHo Hotel Condominium,New York City  ,138.4,2010,concrete,hotel
Eleven-Eleven Third Avenue,Seattle  ,138.4,1980,steel,office
Wells Fargo Tower,Birmingham (AL)  ,138.4,1986,,office
Rivergate Tower,Tampa  ,138.4,1988,,office
Commerce Place,Baltimore  ,138.4,1992,,office
Regions Center,Little Rock  ,138.4,1975,,office
City Hall,Los Angeles  ,138.4,1928,steel,office
Accenture Tower,Minneapolis  ,138.5,1987,concrete,office
The Monaco North Tower,Jersey City  ,138.7,2011,concrete,residential
The Monaco South Tower,Jersey City  ,138.7,2011,concrete,residential
The Ritz Plaza,New York City  ,138.7,1990,,residential
Olive 8,Seattle  ,138.7,2009,concrete,residential / hotel
150 West Jefferson,Detroit  ,138.7,1989,,office
The Pinnacle Marina Tower,San Diego  ,138.7,2005,concrete,residential
Paramount Building,New York City  ,138.7,1927,steel,office
Kingsbury Plaza,Chicago  ,138.8,2007,concrete,residential
One Union Square,Seattle  ,139,1981,steel,office
Trump Parc Condominiums,New York City  ,139,1930,steel,hotel
AEP Building,Columbus  ,139,1983,,office
Atlantic Wharf,Boston  ,139,2011,composite,residential / office
2100 Ross,Dallas  ,139,1982,,office
66 Rockwell Place,New York City  ,139.3,2014,concrete,residential
Swissotel Chicago,Chicago  ,139.3,1989,concrete,hotel
The Water Club at Borgata,Atlantic City  ,139.3,2008,concrete,hotel / casino
Equitable Building,Chicago  ,139.3,1965,steel,office
600 North Fairbanks,Chicago  ,139.5,2008,concrete,residential
Palms Fantasy Tower,Las Vegas  ,139.6,2006,concrete,hotel / casino
The Residences at Grand Plaza,Chicago  ,139.6,2003,concrete,residential
Park Tower,Tampa  ,139.6,1972,steel,office
8 Stone Street,New York City  ,139.7,2010,concrete,hotel
One State Street Plaza,New York City  ,139.9,1969,,office
Ivanpah Solar Electric Generating System Tower 1,Primm (),139.9,2013,steel,industrial
Ivanpah Solar Electric Generating System Tower 2,Primm (),139.9,2013,steel,industrial
Ivanpah Solar Electric Generating System Tower 3,Primm (),139.9,2013,steel,industrial
Centennial Tower,Atlanta  ,140,1976,,office
Ruan Center,Des Moines  ,140.1,1975,steel,office
Leighton House Residence Tower,New York City  ,140.2,1990,,residential
One Miami East Tower,Miami  ,140.2,2005,concrete,residential
Symphony House Apartments,New York City  ,140.2,1986,,residential
747 3rd Avenue,New York City  ,140.2,1972,,office
100 North Main Street,Winston-Salem  ,140.2,1995,steel,office
Element,Tampa  ,140.2,2009,concrete,residential
Louisiana State Capitol,Baton Rouge  ,140.2,1932,steel,office
Chicago Marriott,Chicago  ,140.2,1978,,hotel
The Tower,Burbank  ,140.2,1988,concrete,office
JW Essex House,New York City  ,140.5,1931,steel,residential / hotel
Trump Towers I,Sunny Isles Beach  ,140.5,2008,concrete,residential
Trump Towers II,Sunny Isles Beach  ,140.5,2008,concrete,residential
Trump Towers III,Sunny Isles Beach  ,140.5,2008,concrete,residential
480 Washington Boulevard,Jersey City  ,140.5,2004,steel,office
The New York,Chicago  ,140.5,1986,concrete,residential
Presidential Towers I,Chicago  ,140.6,1985,concrete,residential
Presidential Towers II,Chicago  ,140.6,1985,concrete,residential
Presidential Towers III,Chicago  ,140.6,1985,concrete,residential
Presidential Towers IV,Chicago  ,140.6,1985,concrete,residential
Smith Tower,Seattle  ,140.8,1914,steel,office
Montague-Court Building,New York City  ,140.8,1927,steel,office
121 West Trade,Charlotte  ,140.8,1990,,office
Monarch Condominiums,New York City  ,140.8,1986,,residential
Arco Tower,Los Angeles  ,140.8,1989,,office
Victory Apartments,New York City  ,140.9,2002,concrete,residential
Randolph Tower,Chicago  ,141,1929,steel,office
The Atlas,New York City  ,141.1,2002,,residential
22 Cortlandt Street,New York City  ,141.1,1971,,office
Tribune Tower,Chicago  ,141.1,1925,steel,office
200 North Dearborn Apartments,Chicago  ,141.1,1989,concrete,residential
"Dillon, Read & Company Building",New York City  ,141.4,1982,,office
Franklin County Courthouse,Columbus  ,141.4,1991,steel,government
The Oxford on 72nd,New York City  ,141.5,1990,,residential
The Marc,New York City  ,141.6,2004,concrete,residential
National Newark Building,Newark  ,141.7,1931,steel,office
5 Greenway Plaza,Houston  ,141.7,1973,,office
The Sterling,Chicago  ,142,2001,concrete,residential / retail
500 Park Tower,New York City  ,142,1984,,residential / office
650 California Street,San Francisco  ,142,1964,steel,office
Allure Las Vegas Tower I,Las Vegas  ,142,2007,concrete,residential
Coast at Lakeshore East,Chicago  ,142.2,2013,concrete,residential
AT&T Tower,Minneapolis  ,142.3,1991,steel,office
VIA 57 WEST,New York City  ,142.3,2016,concrete,residential
Melody at Arsht Center,Miami  ,142.3,2016,concrete,residential / retail
U.S. Bancorp Center,Minneapolis  ,142.5,2000,steel,office
Columbus Plaza,Chicago  ,142.7,1980,concrete,residential
Scripps Center,Cincinnati  ,142.7,1990,steel,office
The Carlyle,Minneapolis  ,142.9,2007,concrete,residential
"Roosevelt University Academic, Student Life Residence Center",Chicago  ,143,2012,steel/concrete,residential / education / office
3630 Peachtree Road,Atlanta  ,143,2010,concrete,residential / office
900 3rd Avenue,New York City  ,143,1983,,office
Trump Taj Mahal - Chairman Tower,Atlantic City  ,143.2,2008,concrete,hotel
1100 Millicento Residences,Miami  ,143.3,2015,concrete,residential
Times Square Doubletree Hotel,New York City  ,143.3,1990,concrete/steel,hotel
Aire,New York City  ,143.3,2010,concrete,residential
Wyndham New Yorker Hotel,New York City  ,143.3,1930,steel,hotel
City Place,Chicago  ,143.3,1990,concrete,office / hotel
Hampshire House,New York City  ,143.3,1931,steel,hotel
Capitol-EMI Building,New York City  ,143.3,1971,,office
"Continuum on South Beach, South Tower",Miami Beach  ,143.5,2002,concrete,residential
Wells Fargo Place,St. Paul  ,143.6,1987,concrete,office
The Link,New York City  ,143.6,2007,concrete,residential
325 5th Avenue,New York City  ,143.6,2006,concrete,residential
Hotel InterContinental,Chicago  ,143.6,1929,steel,hotel
Solow Tower Apartments,New York City  ,143.9,1971,,residential
505 West 37th Street East Tower,New York City  ,143.9,2010,concrete,residential
Park Avenue Place,New York City  ,143.9,2004,concrete,residential
United States Plywood Building,New York City  ,143.9,1961,steel,office
333 Market Building,San Francisco  ,144,1979,steel,office
Marymount University Dormitory,New York City  ,144.2,2001,concrete,residential
Harper & Row Building,New York City  ,144.2,1972,,office
12 Metrotech Center,New York City  ,144.2,2005,steel,office / government
International Plaza,New York City  ,144.2,1988,,office
One South Broad,Philadelphia  ,144.4,1932,steel,office
Plaza 440,Chicago  ,144.5,1991,concrete,residential / hotel
American Furniture Mart,Chicago  ,144.5,1926,concrete/steel,office
Plaza VII,Minneapolis  ,144.6,1987,steel,hotel / office
Millennium Place Tower 1,Boston  ,144.8,2001,,residential / hotel
135W52,New York City  ,144.8,2015,concrete,residential
Electra,San Diego  ,144.8,2008,steel/concrete,residential
The Murano,Philadelphia  ,144.8,2008,concrete,residential
Hilton Times Square,New York City  ,144.8,2000,,hotel
Book Tower,Detroit  ,144.8,1926,steel,office
The Signature at MGM Grand Tower I,Las Vegas  ,144.8,2006,concrete,residential
The Signature at MGM Grand Tower II,Las Vegas  ,144.8,2006,concrete,residential
The Signature at MGM Grand Tower III,Las Vegas  ,144.8,2007,concrete,residential
Metropolitan Tower,Chicago  ,144.8,1924,steel,office
Cook County Administration Building,Chicago  ,144.8,1964,concrete,office
Venetian Resort-Hotel-Casino,Las Vegas  ,144.8,1999,concrete,hotel / casino
Koppers Building,Pittsburgh  ,144.8,1929,steel,office
Riverbank West Apartments,New York City  ,145,1987,,office
45 Fremont Center,San Francisco  ,145,1979,steel,office
Prism Tower,New York City  ,145,2015,concrete,residential
100 Pine Center,San Francisco  ,145.1,1972,steel,office
One State Street Plaza,New York City  ,139.9,1969,,office
Ivanpah Solar Electric Generating System Tower 1,Primm (),139.9,2013,steel,industrial
Ivanpah Solar Electric Generating System Tower 2,Primm (),139.9,2013,steel,industrial
Ivanpah Solar Electric Generating System Tower 3,Primm (),139.9,2013,steel,industrial
Centennial Tower,Atlanta  ,140,1976,,office
Ruan Center,Des Moines  ,140.1,1975,steel,office
Leighton House Residence Tower,New York City  ,140.2,1990,,residential
One Miami East Tower,Miami  ,140.2,2005,concrete,residential
Symphony House Apartments,New York City  ,140.2,1986,,residential
747 3rd Avenue,New York City  ,140.2,1972,,office
100 North Main Street,Winston-Salem  ,140.2,1995,steel,office
Element,Tampa  ,140.2,2009,concrete,residential
Louisiana State Capitol,Baton Rouge  ,140.2,1932,steel,office
Chicago Marriott,Chicago  ,140.2,1978,,hotel
The Tower,Burbank  ,140.2,1988,concrete,office
JW Essex House,New York City  ,140.5,1931,steel,residential / hotel
Trump Towers I,Sunny Isles Beach  ,140.5,2008,concrete,residential
Trump Towers II,Sunny Isles Beach  ,140.5,2008,concrete,residential
Trump Towers III,Sunny Isles Beach  ,140.5,2008,concrete,residential
480 Washington Boulevard,Jersey City  ,140.5,2004,steel,office
The New York,Chicago  ,140.5,1986,concrete,residential
Presidential Towers I,Chicago  ,140.6,1985,concrete,residential
Presidential Towers II,Chicago  ,140.6,1985,concrete,residential
Presidential Towers III,Chicago  ,140.6,1985,concrete,residential
Presidential Towers IV,Chicago  ,140.6,1985,concrete,residential
Smith Tower,Seattle  ,140.8,1914,steel,office
Montague-Court Building,New York City  ,140.8,1927,steel,office
121 West Trade,Charlotte  ,140.8,1990,,office
Monarch Condominiums,New York City  ,140.8,1986,,residential
Arco Tower,Los Angeles  ,140.8,1989,,office
Victory Apartments,New York City  ,140.9,2002,concrete,residential
